algorithm,avg_time,max_time,min_time,avg_iterations,max_iterations,min_iterations,avg_verts_visited,avg_edges_visited,successful_runs,avg_r_insert_mean,avg_r_deletemin_mean
edmons-karp,1.6246142864227295,7.582066059112549,0.024626970291137695,8005.233333333334,25387,127,98477037.36666666,98469032.13333334,30,,
fattest-path,0.39247095584869385,1.5491678714752197,0.00826716423034668,1439.5666666666666,7999,60,8311392.766666667,42736846.56666667,30,0.3152992,0.5456523333333333
random-dfs,42.238015222549436,187.53837990760803,0.0603640079498291,85208.8,319984,998,203219855.86666667,203134647.06666666,30,,
